2015-06-08 22:05:42,711 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:05:42,713 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:05:42,713 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:05:53,375 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:05:53,375 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:05:53,376 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:05:53,376 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:06:41,015 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:06:41,016 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:06:41,018 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:06:41,018 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:07:08,919 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:07:08,920 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:07:08,921 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:07:08,921 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:07:13,744 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:07:13,745 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:07:13,746 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:07:13,746 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:08:00,654 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:08:00,654 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:08:00,655 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:08:00,655 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:08:53,803 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:08:53,804 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:08:53,804 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:08:53,805 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:09:18,069 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:09:18,069 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:09:18,070 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:09:18,070 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:12:05,840 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:12:05,840 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:12:05,841 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:12:05,841 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:12:07,229 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:12:07,229 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:12:07,230 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:12:07,230 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:12:11,414 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:12:11,415 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:12:11,416 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:12:11,416 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 22:15:05,308 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 22:15:05,308 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 22:15:05,309 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
